AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
205102,"        ", 150.429581,  15.000000, 150.415405,  14.991944, 2414,142,  6,  0.86,0.07,  7.1, 2.25,  37.2, 8.45,1
202140,"F637-3  ", 150.440002,  17.684721, 150.437500,  17.687222, 2224, 83,  2,  1.42,0.05, 14.9, 2.32,  34.4, 8.60,1
205104,"D637-9  ", 150.485413,  15.758333, 150.479996,  15.760278, 2249, 43,  8,  0.73,0.05, 11.5, 2.13,  34.8, 8.32,1
208518,"HIdetHVC", 150.583771,   1.843889,   0.000000,   0.000000,  153, 22,  1, 10.74,0.10, 43.1, 9.98,   0.0, 0.00,9
721856,"        ", 150.593765,  29.730001, 150.596664,  29.725834,  819, 41,  2,  0.87,0.05, 12.6, 2.34,  13.0, 7.54,1
208519,"HIdetHVC", 150.600006,   1.518056,   0.000000,   0.000000,  143, 33,  1, 11.91,0.09, 58.4, 7.06,   0.0, 0.00,9
  5401,"M+326017", 150.635834,  19.031111, 150.630844,  19.032499, 2006,132,  3,  4.76,0.07, 41.2, 2.24,  31.3, 9.04,1
208413,"HIdetHVC", 150.651672,   4.683889,   0.000000,   0.000000,  152, 20,  0, 10.09,0.14, 31.6,11.88,   0.0, 0.00,9
  5403,"093-029 ", 150.651672,  19.176666, 150.648331,  19.176388, 2089,245,  3,  5.11,0.09, 32.4, 2.26,  32.5, 9.10,1
205072,"        ", 150.661667,  12.166945, 150.661667,  12.155833, 2965, 26,  6,  0.36,0.04,  7.6, 2.00,  45.2, 8.24,1
205105,"        ", 150.719177,  14.556945, 150.712509,  14.553333, 2807, 50,  9,  0.43,0.04,  7.5, 1.77,  42.8, 8.27,1
  5409,"064-044 ", 150.761246,  10.749722, 150.764587,  10.745556, 3007,210,  3,  5.98,0.09, 37.7, 2.44,  45.8, 9.47,1
205595,"        ", 150.796249,  32.604164, 150.791260,  32.606388, 1490, 81,  5,  1.20,0.04, 17.8, 1.66,  23.7, 8.20,1
201901,"        ", 150.815414,   2.094167, 150.814178,   2.095000, 1743, 71,  2,  1.91,0.07, 18.5, 2.72,  27.3, 8.53,1
739182,"        ", 151.025421,  18.200001, 151.021667,  18.197222, 2119, 80,  6,  1.23,0.06, 13.3, 2.29,  32.9, 8.50,1
200879,"036-027 ", 151.032913,   6.511111, 151.036255,   6.510556, 1263, 42,  7,  0.65,0.05,  9.9, 2.23,  20.4, 7.81,1
  5425,"N3107   ", 151.095825,  13.625556, 151.094177,  13.621111, 2803,204,  2,  1.75,0.07, 13.2, 2.07,  42.8, 8.88,1
208773,"rgmph   ", 151.096237,  32.530834, 151.089157,  32.534443, 1448, 76,  4,  1.47,0.05, 18.1, 2.06,  23.1, 8.27,1
  5427,"153-014 ", 151.168747,  29.363890, 151.170837,  29.363890,  494, 77,  2,  3.67,0.06, 42.6, 2.18,   7.1, 7.64,1
749408,"        ", 151.182083,  24.596945, 151.180832,  24.592779, 1393, 23,  3,  0.78,0.05, 11.4, 2.99,  22.5, 7.97,1
201910,"        ", 151.325821,   1.644722, 151.322083,   1.640000, 1271,104,  4,  3.86,0.07, 31.7, 2.66,  20.4, 8.58,1
501816,"HIdetHVC", 151.329987,  -0.034444,   0.000000,   0.000000,  107, 20,  1,  1.70,0.05, 17.3, 4.39,   0.0, 0.00,9
202138,"F500-3  ", 151.497070,  23.858889, 151.495407,  23.863890, 1351, 90,  6,  1.17,0.06, 12.9, 2.12,  21.9, 8.12,1
202297,"        ", 151.515427,  10.634722, 151.515839,  10.637777, 1565,258, 26,  2.06,0.11, 11.1, 2.59,  25.0, 8.48,1
208434,"        ", 151.520416,   7.130556, 151.519592,   7.135278, 2487, 60, 13,  0.41,0.05,  5.4, 2.34,  38.2, 8.15,1
202488,"        ", 151.535843,  11.097777, 151.545013,  11.100556, 2496, 97,  8,  0.75,0.07,  8.0, 2.09,  38.4, 8.42,1
200055,"UA201   ", 151.576248,  28.950556, 151.575836,  28.945000, 1367, 71,  7,  1.07,0.05, 13.6, 2.08,  22.1, 8.09,1
  5446,"182-072 ", 151.624176,  32.940556, 151.629166,  32.946667, 1357,177,  3,  8.50,0.08, 57.9, 2.46,  38.7, 9.48,1
205108,"        ", 151.659592,  12.322500, 151.667923,  12.316667, 1487, 26,  5,  0.58,0.06,  7.8, 3.11,  23.9, 7.89,1
208689,"        ", 151.755844,  18.672777, 151.761246,  18.665556, 1892, 82, 11,  0.93,0.07,  8.2, 2.78,  29.7, 8.29,1
202723,"        ", 151.764572,  12.910000, 151.777084,  12.897500, 2727,109,  6,  0.90,0.06,  9.0, 2.14,  41.7, 8.57,1
203862,"        ", 151.766663,   5.012778, 151.768753,   5.006945, 1739, 34,  4,  0.95,0.05, 16.7, 2.14,  27.4, 8.22,1
  5453,"093-047 ", 151.777924,  15.980833, 151.779999,  15.983611,  839, 53,  4,  2.18,0.05, 30.5, 2.17,  13.0, 7.94,1
  5452,"N3118   ", 151.796661,  33.020832, 151.797928,  33.027222, 1342,208,  3, 19.15,0.08,140.3, 2.11,  21.6, 9.32,1
  5454,"064-066 ", 151.796661,  12.647500, 151.795837,  12.651111, 2790,126,  5,  4.80,0.07, 42.7, 2.23,  42.6, 9.31,1
  5456,"064-068 ", 151.832504,  10.356112, 151.831665,  10.362500,  536, 61,  3,  7.52,0.07, 88.1, 2.42,  10.8, 8.31,1
  5458,"I 591   ", 151.868332,  12.270278, 151.865417,  12.273889, 2817,140, 11,  2.09,0.07, 17.3, 2.27,  43.0, 8.96,1
202043,"D637-18 ", 151.889999,  13.108334, 151.888336,  13.106668, 2739, 36,  2,  1.89,0.04, 31.3, 2.20,  41.9, 8.89,1
205113,"        ", 151.925842,  12.360556, 151.928757,  12.369722, 2806, 42,  6,  0.68,0.06,  8.3, 2.79,  42.9, 8.47,1
200099,"064-071 ", 151.990005,  13.223888, 151.987488,  13.227221, 2758,155,  3,  3.82,0.07, 30.9, 2.21,  54.2, 9.42,1
